nutrition_simplified
name,protein,fat,carbs,Macro
soy oil,0.0,13.6,0.0,fat
natto,14.2,8.8,11.5,protein
chrysanthemum raw,1.7,0.3,1.5,protein
gourd cooked,1.2,0.6,25.5,carbs
cauliflower raw,0.2,0.08,0.6,carbs
red cabbage raw,2.4,0.3,12.5,carbs
broccoli raab raw,1.3,0.2,1.1,protein
napa cabbage cooked,1.2,0.2,2.4,carbs
kelp,0.07,0.07,0.5,carbs
shallots raw,0.6,0.06,4.2,carbs
bamboo shoots raw,4.7,0.5,9.4,carbs
jute cooked,3.2,0.2,6.3,carbs
red lettuce,0.4,0.08,0.6,carbs
broccoli cooked,6.7,1.1,20.1,carbs
romanesco raw,1.9,0.2,3.9,carbs
eggplant raw,4.5,0.8,26.9,carbs
leeks raw,1.3,0.3,12.6,carbs
lemongrass citronella,0.04,0.08,1.2,carbs
pumpkin cooked,1.8,0.2,12.0,carbs
celery cooked,0.3,0.1,1.5,carbs
serrano pepper,0.1,0.08,0.4,carbs
nopales raw,1.1,0.06,2.9,carbs
sweet potato leaves cooked,1.4,0.2,4.7,carbs
eggplant cooked,0.8,0.2,8.1,carbs
asparagus cooked,0.4,0.07,0.6,carbs
rutabaga cooked,2.2,0.4,16.4,carbs
parsnips raw,2.0,0.5,30.6,carbs
sour pickles,0.5,0.3,3.5,carbs
turnip greens cooked,1.6,0.3,6.3,carbs
jerusalem artichokes,3.0,0.05,26.2,carbs
collard raw,1.1,0.2,2.0,carbs
chrysanthemum cooked,1.6,0.04,4.3,carbs
oriental radish dried,9.2,0.8,73.5,carbs
tomatillos,1.3,1.3,7.7,carbs
taro shoots raw,0.8,0.07,2.0,carbs
acorn squash raw,3.4,0.4,44.9,carbs
leeks dried,0.5,0.03,2.4,carbs
cabbage raw,3.6,0.3,16.2,carbs
sweet red peppers cooked,0.7,0.1,4.5,carbs
sweet red peppers raw,1.5,0.4,9.0,carbs
cucumber peeled,0.8,0.2,2.9,carbs
purslane raw,0.9,0.2,1.5,carbs
peas onions cooked,4.6,0.4,15.5,carbs
tomato cooked,1.2,0.1,4.9,carbs
taro shoots cooked,1.0,0.1,4.5,carbs
scots kale raw,1.9,0.4,5.6,carbs
artichoke raw,4.2,0.2,13.5,carbs
navy bean sprouts raw,6.4,0.7,13.6,carbs
sweet pickles,0.9,0.7,33.8,carbs
oriental radish cooked,1.0,0.4,5.0,carbs
sweet potato leaves raw,0.9,0.2,3.1,carbs
irishmoss,0.04,0.05,0.6,carbs
drumstick leaves cooked,2.2,0.4,4.7,carbs
winter squash raw,1.1,0.2,10.0,carbs
pumpkin raw,1.2,0.1,7.5,carbs
chicory greens,0.5,0.1,1.4,carbs
spinach cooked,5.3,0.5,6.8,carbs
radish pickled,1.7,0.5,7.8,carbs
sweet onion,2.6,0.3,25.0,carbs
salsify cooked,3.7,0.2,20.7,carbs
radish seeds sprouted,1.4,1.0,1.4,protein
turnips raw,1.6,0.2,11.8,carbs
burdock root raw,1.8,0.2,20.5,carbs
red cabbage cooked,2.6,0.2,11.8,carbs
jute raw,1.3,0.05,1.6,carbs
hot chile pepper dried,0.05,0.05,0.3,carbs
salsify raw,4.4,0.3,24.7,carbs
crookneck squash raw,1.3,0.3,4.9,carbs
indian squash cooked,0.7,0.4,7.6,carbs
poi,0.9,0.3,65.4,carbs
sesbania flower cooked,1.2,0.01,5.3,carbs
acorn squash cooked,2.3,0.3,29.9,carbs
cauliflower cooked,2.3,0.6,5.1,carbs
crookneck squash cooked,1.9,0.7,6.8,carbs
laver seaweed,0.2,0.01,0.1,protein
mountain yam cooked,2.5,0.1,29.0,carbs
pumpkin flowers raw,0.3,0.08,1.1,carbs
mustard greens raw,1.6,0.2,2.6,carbs
arrowhead,0.6,0.08,2.4,carbs
japanese cabbage,2.4,0.2,8.5,carbs
mung bean sprouts cooked,2.5,0.1,4.5,carbs
scallop squash cooked,1.9,0.3,5.9,carbs
pumpkin leaves cooked,1.9,0.2,2.4,carbs
hungarian pepper,0.2,0.1,1.8,carbs
sweet potato baked,2.3,0.2,23.6,carbs
chinese cabbage pe tsai raw,0.9,0.2,2.5,carbs
taro raw,1.6,0.2,27.5,carbs
yam bean jicama,0.9,0.1,11.5,carbs
olives,0.09,0.9,0.5,fat
mustard greens cooked,3.6,0.7,6.3,carbs
pumpkin flowers cooked,1.5,0.1,4.4,carbs
tree fern cooked,0.4,0.1,15.3,carbs
yellow corn raw,15.6,7.9,123.3,carbs
endive,0.6,0.1,1.7,carbs
wakame,2.4,0.5,7.3,carbs
tahitian taro raw,3.5,1.2,8.6,carbs
broccoli raw,2.6,0.3,6.0,carbs
sweet green peppers raw,1.3,0.3,6.9,carbs
chinese cabbage pak choi cooked,2.7,0.3,3.0,carbs
agar,0.05,0.06,0.3,carbs
watercress,0.8,0.01,0.4,protein
beet greens cooked,3.7,0.3,7.9,carbs
winter squash cooked,1.8,0.7,18.1,carbs
new zealand spinach raw,0.8,0.1,1.4,carbs
okra,0.2,0.08,0.9,carbs
yautia tannier,2.0,0.5,31.9,carbs
mustard spinach cooked,3.1,0.4,5.0,carbs
rhubarb cooked,0.9,0.1,74.9,carbs
beets raw,2.2,0.2,13.0,carbs
drumstick pods raw,2.1,0.2,8.5,carbs
baby zucchini,0.3,0.09,0.3,protein
onion raw,0.4,0.05,3.7,carbs
romanesco cooked,3.7,0.4,7.7,carbs
butternut squash raw,2.0,0.2,23.4,carbs
amaranth leaves,0.7,0.08,1.1,carbs
turnip greens raw,0.8,0.2,3.9,carbs
spaghetti squash raw,0.6,0.6,7.0,carbs
seaweed dry,3.1,0.3,9.2,carbs
yam cooked,2.0,0.2,37.4,carbs
corn dried,4.1,3.0,18.8,carbs
cucumber,1.0,0.2,5.4,carbs
arrowroot,5.1,0.2,16.1,carbs
cardoon raw,1.2,0.2,7.2,carbs
bamboo shoots cooked,1.8,0.3,2.3,carbs
summer squash raw,3.1,0.5,8.7,carbs
sweet potato raw,2.0,0.0,26.2,carbs
green tomato,2.2,0.4,9.3,carbs
beet greens raw,0.8,0.08,1.6,carbs
savoy cabbage cooked,3.1,0.2,9.2,carbs
witloof chicory,0.5,0.03,2.1,carbs
turnips cooked,1.1,0.1,7.9,carbs
dried tomatoes,0.3,0.05,1.1,carbs
radicchio,0.9,0.2,2.9,carbs
mixed vegetables cooked,5.2,0.3,23.8,carbs
yellow tomato,2.1,0.6,6.3,carbs
cardoon cooked,0.9,0.1,6.4,carbs
spinach raw,0.9,0.1,1.1,carbs
kale raw,0.6,0.3,0.9,carbs
drumstick pods cooked,2.5,0.2,9.7,carbs
kohlrabi raw,4.5,0.3,16.4,carbs
lentil sprouts,6.9,0.4,17.0,carbs
carrots raw,0.6,0.1,5.8,carbs
red chili peppers,0.8,0.2,4.0,carbs
fennel,2.9,0.5,17.1,carbs
sweet corn white,2.4,0.9,13.9,carbs
celeriac raw,2.3,0.5,14.4,carbs
hubbard squash raw,2.3,0.6,10.1,carbs
brussels sprouts cooked,0.5,0.1,1.5,carbs
carrots cooked,0.3,0.09,3.8,carbs
lambs quarters raw,0.08,0.07,0.07,protein
lotus root cooked,0.1,0.06,1.4,carbs
split peas raw,48.4,2.3,118.9,carbs
scots kale cooked,2.5,0.5,7.3,carbs
corn cooked,3.5,1.5,21.6,carbs
radish raw,0.04,0.03,0.2,carbs
stinging nettles,2.4,0.01,6.7,carbs
baby carrots,0.03,0.05,1.2,carbs
sweet yellow peppers,1.9,0.4,11.8,carbs
taro leaves raw,1.4,0.2,1.9,carbs
corn raw,4.7,1.9,26.7,carbs
roselle,0.5,0.4,6.4,carbs
drumstick leaves raw,2.0,0.3,1.7,protein
scallop squash raw,1.6,0.3,5.0,carbs
chicory roots,1.3,0.2,15.8,carbs
brussels sprouts raw,0.6,0.08,1.7,carbs
kale cooked,3.5,1.4,6.3,carbs
pupusas con frijoles,7.0,11.4,39.7,carbs
mustard cabbage,1.4,0.1,7.2,carbs
gourd raw,1.1,0.2,4.1,carbs
butternut squash cooked,1.8,0.2,21.0,carbs
burdock root cooked,3.5,0.2,35.1,carbs
cassava,2.8,0.6,78.4,carbs
peas carrots cooked,4.9,0.7,16.2,carbs
romaine lettuce,0.6,0.1,1.5,carbs
